name;category;short_description;price
FREKVENS;Bar furniture;        Bar table, in/outdoor,          51x51 cm;68.25
NORDVIKEN;Bar furniture;        Bar table,          140x80 cm;256.27
NORDVIKEN / NORDVIKEN;Bar furniture;        Bar table and 4 bar stools;539.59
STIG;Bar furniture;        Bar stool with backrest,          74 cm;17.77
NORBERG;Bar furniture;        Wall-mounted drop-leaf table,          74x60 cm;57.95
INGOLF;Bar furniture;        Bar stool with backrest,          63 cm;88.86
FRANKLIN;Bar furniture;        Bar stool with backrest, foldable,          63 cm;33.23
DALFRED;Bar furniture;        Bar stool,          63-74 cm;50.22
EKEDALEN / EKEDALEN;Bar furniture;        Bar table and 4 bar stools;560.45
NORRARYD;Bar furniture;        Bar stool with backrest,          74 cm;101.74
EKEDALEN;Bar furniture;        Bar stool with backrest,          75 cm;88.86
TOMMARYD;Bar furniture;        Table,          130x70/105 cm;179.00
HENRIKSDAL;Bar furniture;        Bar stool with backrest frame,          74 cm;101.74
KULLABERG;Bar furniture;        Stool;36.06
JANINGE;Bar furniture;        Bar stool,          76 cm;153.25
RÅSKOG;Bar furniture;        Bar stool,          63 cm;45.07
STENSELE / NORRARYD;Bar furniture;        Bar table and 2 bar stools;345.13
STENSELE;Bar furniture;        Bar table,          70x70 cm;141.66
NORRÅKER;Bar furniture;        Bar table,          74x74 cm;153.25
NORRÅKER / NORRÅKER;Bar furniture;        Bar table and 2 bar stools,          74 cm;326.07
YNGVAR;Bar furniture;        Bar stool,          75 cm;122.34
NORRÅKER / NORRARYD;Bar furniture;        Bar table and 2 bar stools,          74 cm;356.72
BERNHARD;Bar furniture;        Bar stool with backrest,          66 cm;191.88
GLENN;Bar furniture;        Bar stool,          77 cm;114.61
MINNEN;Beds;        Ext bed frame with slatted bed base,          80x200 cm;101.74
BRIMNES;Beds;        Bed frame w storage and headboard,          90x200 cm;230.52
SMÅGÖRA;Beds;        Cot,          60x120 cm;153.25
PLATSA;Beds;        Bed frame with 4 drawers,          140x244x163 cm;543.71
VATTVIKEN;Beds;        Armchair-bed;256.27
SLÄKT;Beds;        Ext bed frame with slatted bed base,          80x200 cm;139.08
NEIDEN;Beds;        Bed frame,          90x200 cm;25.50
LEIRVIK;Beds;        Bed frame,          180x200 cm;307.78
HEMNES;Beds;        Bed frame,          140x200 cm;173.85
SLATTUM;Beds;        Upholstered bed frame,          140x200 cm;153.25
SAGSTUA;Beds;        Bed frame,          140x200 cm;140.37
ASKVOLL;Beds;        Bed frame,          140x200 cm;114.61
TRYSIL;Beds;        Bed frame,          160x200 cm;135.22
MALM;Beds;        Bed frame, high,          140x200 cm;127.49
RAMSTA;Beds;        Day-bed frame with slatted bed base,          90x200 cm;114.61
SONGESAND;Beds;        Bed frame,          140x200 cm;101.74
SNIGLAR;Beds;        Bed frame with slatted bed base,          70x160 cm;50.22
LAUVIK;Beds;        Divan bed,          140x200 cm;445.32
NESTTUN;Beds;        Bed frame,          140x200 cm;153.25
TYSSEDAL;Beds;        Bed frame,          140x200 cm;359.30
